Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Myles Gaskin,MIA,2020,Y,4,2606777,651694.25,202755153,0.003214193279,10,469,390,28,35,2,64,142,584,4.112676056,3,360,2,2,47,41,388,9.463414634,2,9.8,972,1688,5424,39,0.345971564,0.1792035398,0.1282051282,772909.3805,3091637.522,240467611.5
Dalvin Cook,MIN,2020,N,5,63000000,12600000,195029407,0.06460564175,14,669,635,12,22,4,50,312,1557,4.990384615,16,1039,6,46,51,44,361,8.204545455,1,10,1918,2283,6292,55,0.6819973719,0.3048315321,0.3090909091,14943600,74718000,231304876.7
Damien Harris,NE,2020,Y,4,3631136,907784,186649624,0.004863572616,10,251,242,3,6,1,24,137,691,5.04379562,2,414,1,20,7,5,52,10.4,0,11,743,2346,5236,32,0.2945439045,0.1419022154,0.0625,1076631.824,4306527.296,221366454.1
Alvin Kamara,NO,2020,N,5,75000000,15000000,194082268,0.07728681324,17,773,602,81,83,5,33,228,1116,4.894736842,17,678,1,31,111,88,793,9.011363636,5,8.6,1909,2265,6023,58,0.4927152318,0.3169516852,0.3793103448,17790000,88950000,230181569.8
Wayne Gallman,NYG,2020,Y,4,2819648,704912,192619204,0.003659614334,15,391,365,17,9,0,28,147,682,4.639455782,6,533,1,16,25,21,114,5.428571429,0,4.8,796,1768,4794,25,0.3857466063,0.1660408844,0.24,836025.632,3344102.528,228446375.9
Frank Gore,NYJ,2020,N,1,1050000,1050000,182498749,0.005753464096,15,380,361,6,13,3,32,187,653,3.49197861,2,467,1,13,18,16,89,5.5625,0,4.6,742,1683,4479,25,0.3879976233,0.1656619781,0.08,1245300,1245300,216443516.3
Miles Sanders,PHI,2020,Y,4,5350175,1337543.75,200593459,0.006667933026,12,603,544,24,35,7,68,164,867,5.286585366,6,555,4,16,50,28,197,7.035714286,0,7.8,1064,2027,5354,38,0.427725703,0.1987299216,0.1578947368,1586326.888,6345307.55,237903842.4
James Conner,PIT,2020,Y,4,3161523,790380.75,194669953,0.004060106544,14,628,577,32,19,5,81,180,758,4.211111111,7,504,2,19,46,40,245,6.125,0,6.8,1003,1351,5354,47,0.5610658771,0.1873365708,0.1489361702,937391.5695,3749566.278,230878564.3
Jeff Wilson,SF,2020,N,1,750000,750000,202659073,0.003700796559,12,357,280,31,19,0,24,126,600,4.761904762,7,398,2,17,24,13,133,10.23076923,3,8.5,733,1889,5922,44,0.3176283748,0.1237757514,0.2272727273,889500,889500,240353660.6
Chris Carson,SEA,2020,Y,4,2465129,616282.25,200893810,0.003067701538,13,449,421,15,13,3,30,157,758,4.828025478,5,492,1,22,47,38,292,7.684210526,4,7.4,1050,1971,5912,55,0.3845763572,0.1776048714,0.1636363636,730910.7485,2923642.994,238260058.7
Ronald Jones II,TB,2020,Y,4,7071908,1767977,199841623,0.00884689072,17,508,474,15,19,2,24,227,1117,4.920704846,7,802,4,24,43,28,165,5.892857143,1,5.8,1282,1519,6145,58,0.7353522054,0.2086248983,0.1379310345,2096820.722,8387282.888,237012164.9
Derrick Henry,TEN,2020,N,1,10278000,10278000,216614008,0.04744845495,17,746,730,11,5,4,64,396,2067,5.21969697,17,1525,4,48,28,22,125,5.681818182,0,6.3,2192,2690,6343,59,0.768401487,0.3455778023,0.2881355932,12189708,12189708,256904213.5
Antonio Gibson,WAS,2020,Y,4,4932636,1233159,193135405,0.006384945319,15,444,404,15,25,2,20,184,826,4.489130435,11,462,4,22,46,38,251,6.605263158,0,8.3,1077,1611,5076,34,0.5127250155,0.2121749409,0.3235294118,1462526.574,5850106.296,229058590.3
